starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 13 18:27:24 2018	1520987244	177	22132	22309	22131
Tue Mar 13 18:27:24 2018	1520987244	185	22151	22336	0
Tue Mar 13 18:27:24 2018	1520987244	184	22152	22336	0
Tue Mar 13 18:27:24 2018	1520987244	185	22151	22336	0
Tue Mar 13 18:27:24 2018	1520987244	185	22152	22336	0
Tue Mar 13 18:27:24 2018	1520987244	181	22158	22339	0
Tue Mar 13 18:27:24 2018	1520987244	183	22157	22340	0
Tue Mar 13 18:27:24 2018	1520987244	183	22229	22412	0
Tue Mar 13 18:27:24 2018	1520987244	184	22239	22423	22238
Tue Mar 13 18:27:24 2018	1520987244	143	22281	22424	22280
Tue Mar 13 18:27:24 2018	1520987244	179	22260	22438	22259
Tue Mar 13 18:27:24 2018	1520987244	127	22330	22456	22254
Tue Mar 13 18:27:24 2018	1520987244	194	22426	22620	22426
Tue Mar 13 18:27:24 2018	1520987244	174	22501	22675	22501
Tue Mar 13 18:27:24 2018	1520987244	136	22542	22678	22541
Tue Mar 13 18:27:24 2018	1520987244	172	22507	22679	22506
Tue Mar 13 18:27:24 2018	1520987244	176	22506	22683	22506
Tue Mar 13 18:27:24 2018	1520987244	174	22549	22723	22548
Tue Mar 13 18:27:24 2018	1520987244	190	22566	22756	22565
Tue Mar 13 18:27:24 2018	1520987244	126	22923	23049	22772
Tue Mar 13 18:27:24 2018	1520987244	187	22865	23051	22864
Tue Mar 13 18:27:24 2018	1520987244	179	23252	23430	23250
Tue Mar 13 18:27:24 2018	1520987244	185	23441	23626	0
Tue Mar 13 18:27:24 2018	1520987244	102	23541	23643	23213
Tue Mar 13 18:27:24 2018	1520987244	159	23537	23696	23503
Tue Mar 13 18:27:24 2018	1520987244	136	23626	23763	23625
Tue Mar 13 18:27:24 2018	1520987244	183	23667	23850	23667
Tue Mar 13 18:27:24 2018	1520987244	185	23669	23854	23668
Tue Mar 13 18:27:24 2018	1520987244	187	23668	23855	23667
Tue Mar 13 18:27:24 2018	1520987244	106	23816	23921	23673
Tue Mar 13 18:27:24 2018	1520987244	174	23863	24037	23862
Tue Mar 13 18:27:24 2018	1520987244	174	23961	24136	23961
Tue Mar 13 18:27:24 2018	1520987244	111	24102	24213	23869
Tue Mar 13 18:27:24 2018	1520987244	152	24078	24230	24077
Tue Mar 13 18:27:24 2018	1520987244	106	24255	24361	24079
Tue Mar 13 18:27:24 2018	1520987244	172	24242	24414	24241
Tue Mar 13 18:27:24 2018	1520987244	145	24310	24455	24148
Tue Mar 13 18:27:24 2018	1520987244	103	24615	24718	24327
Tue Mar 13 18:27:24 2018	1520987244	152	24595	24747	24531
Tue Mar 13 18:27:24 2018	1520987244	143	24801	24944	24653
Tue Mar 13 18:27:24 2018	1520987244	145	24871	25016	24619
Tue Mar 13 18:27:24 2018	1520987244	168	25216	25384	25216
Tue Mar 13 18:27:24 2018	1520987244	106	25324	25429	25179
Tue Mar 13 18:27:24 2018	1520987244	110	25322	25432	25154
